Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotalTests,Population,Continent
Syria,2703.0,0.0,109.0,0.0,614.0,1980.0,0.0,0.0,17567558.0,Asia
Angola,2624.0,0.0,107.0,0.0,1063.0,1454.0,24.0,64747.0,33023656.0,Africa
South Sudan,2519.0,0.0,47.0,0.0,1290.0,1182.0,0.0,12044.0,11215175.0,Africa
Estonia,2375.0,2.0,64.0,0.0,2088.0,223.0,0.0,148131.0,1326685.0,Europe
Jamaica,2357.0,244.0,21.0,1.0,890.0,1446.0,4.0,58279.0,2963323.0,NorthAmerica
Guinea-Bissau,2205.0,0.0,34.0,0.0,1127.0,1044.0,5.0,1500.0,1975336.0,Africa
Bahamas,2167.0,0.0,50.0,0.0,782.0,1335.0,83.0,11093.0,393862.0,NorthAmerica
Benin,2145.0,0.0,40.0,0.0,1738.0,367.0,0.0,118206.0,12172869.0,Africa
Iceland,2107.0,2.0,10.0,0.0,1997.0,100.0,0.0,215302.0,341610.0,Europe
Jordan,2034.0,68.0,15.0,0.0,1508.0,511.0,3.0,828380.0,10219775.0,Asia
Sierra Leone,2022.0,0.0,70.0,0.0,1594.0,358.0,0.0,0.0,8002826.0,Africa
Aruba,1997.0,0.0,10.0,0.0,765.0,1222.0,7.0,21114.0,106842.0,NorthAmerica
Yemen,1953.0,0.0,564.0,0.0,1123.0,266.0,0.0,120.0,29930071.0,Asia
Malta,1883.0,21.0,12.0,0.0,1400.0,471.0,0.0,190593.0,441740.0,Europe
New Zealand,1738.0,9.0,22.0,0.0,1585.0,131.0,11.0,758027.0,5002100.0,AustraliaOceania
Trinidad and Tobago,1683.0,0.0,21.0,0.0,672.0,990.0,5.0,23429.0,1400246.0,NorthAmerica
Réunion,1634.0,0.0,9.0,0.0,880.0,745.0,2.0,35419.0,896370.0,Africa
Botswana,1633.0,0.0,6.0,0.0,224.0,1403.0,1.0,109547.0,2359195.0,Africa
Uruguay,1585.0,0.0,44.0,0.0,1378.0,163.0,3.0,172081.0,3475743.0,SouthAmerica
Cyprus,1487.0,0.0,20.0,0.0,1139.0,328.0,5.0,286736.0,1208814.0,Asia
Georgia,1487.0,18.0,19.0,0.0,1240.0,228.0,0.0,370858.0,3987868.0,Asia
Latvia,1396.0,3.0,34.0,0.0,1163.0,199.0,1.0,251717.0,1882578.0,Europe
Togo,1396.0,0.0,27.0,0.0,996.0,373.0,0.0,64679.0,8309339.0,Africa
Burkina Faso,1368.0,11.0,55.0,0.0,1058.0,255.0,0.0,0.0,20992577.0,Africa
Liberia,1304.0,0.0,82.0,0.0,872.0,350.0,0.0,0.0,5076434.0,Africa
Guyana,1234.0,0.0,36.0,0.0,687.0,511.0,13.0,8295.0,787184.0,SouthAmerica
Niger,1175.0,0.0,69.0,0.0,1085.0,21.0,0.0,9052.0,24339242.0,Africa
Guadeloupe,1145.0,0.0,16.0,0.0,336.0,793.0,9.0,29595.0,400136.0,NorthAmerica
Andorra,1124.0,0.0,53.0,0.0,902.0,169.0,3.0,137457.0,77286.0,Europe
Lesotho,1085.0,0.0,31.0,0.0,528.0,526.0,0.0,15632.0,2145055.0,Africa
Vietnam,1044.0,4.0,34.0,2.0,707.0,303.0,0.0,1009145.0,97482842.0,Asia
Chad,1012.0,0.0,77.0,0.0,878.0,57.0,0.0,0.0,16498998.0,Africa
Belize,993.0,0.0,13.0,0.0,117.0,863.0,8.0,8050.0,398786.0,NorthAmerica
Sao Tome and Principe,896.0,0.0,15.0,0.0,851.0,30.0,0.0,3792.0,219811.0,Africa
Myanmar,882.0,107.0,6.0,0.0,354.0,522.0,0.0,157843.0,54470268.0,Asia
Diamond Princess,712.0,0.0,13.0,0.0,651.0,48.0,4.0,0.0,0.0,Others
San Marino,710.0,0.0,42.0,0.0,658.0,10.0,0.0,6678.0,33943.0,Europe
Channel Islands,625.0,0.0,48.0,0.0,545.0,32.0,0.0,68985.0,174127.0,Europe
Martinique,596.0,0.0,16.0,0.0,98.0,482.0,3.0,12227.0,375216.0,NorthAmerica
Tanzania,509.0,0.0,21.0,0.0,183.0,305.0,7.0,0.0,59998398.0,Africa
Turks and Caicos,507.0,2.0,3.0,0.0,200.0,304.0,3.0,2429.0,38802.0,NorthAmerica
Taiwan,488.0,0.0,7.0,0.0,462.0,19.0,0.0,87291.0,23824017.0,Asia
French Polynesia,482.0,0.0,0.0,0.0,202.0,280.0,3.0,14029.0,281178.0,AustraliaOceania
Sint Maarten,463.0,3.0,17.0,0.0,179.0,267.0,8.0,2281.0,42956.0,NorthAmerica
Papua New Guinea,459.0,0.0,5.0,0.0,232.0,222.0,0.0,15592.0,8974139.0,AustraliaOceania
Burundi,445.0,0.0,1.0,0.0,357.0,87.0,0.0,24659.0,11945539.0,Africa
Comoros,423.0,0.0,7.0,0.0,399.0,17.0,0.0,0.0,872543.0,Africa
Faeroe Islands,411.0,0.0,0.0,0.0,374.0,37.0,2.0,95279.0,48894.0,Europe
Mauritius,355.0,0.0,10.0,0.0,335.0,10.0,0.0,227409.0,1272123.0,Africa
Isle of Man,336.0,0.0,24.0,0.0,312.0,0.0,0.0,9840.0,85108.0,Europe
Eritrea,318.0,0.0,0.0,0.0,284.0,34.0,0.0,0.0,3554394.0,Africa
Mongolia,301.0,0.0,0.0,0.0,295.0,6.0,1.0,54095.0,3286809.0,Asia
Gibraltar,288.0,3.0,0.0,0.0,232.0,56.0,0.0,34188.0,33689.0,Europe
Cambodia,274.0,1.0,0.0,0.0,266.0,8.0,1.0,97645.0,16756551.0,Asia
Bhutan,224.0,29.0,0.0,0.0,140.0,84.0,0.0,99204.0,773000.0,Asia
Saint Martin,213.0,0.0,5.0,0.0,79.0,129.0,11.0,2756.0,38772.0,NorthAmerica
Cayman Islands,205.0,0.0,1.0,0.0,202.0,2.0,0.0,35195.0,65848.0,NorthAmerica
Barbados,173.0,0.0,7.0,0.0,145.0,21.0,0.0,17057.0,287434.0,NorthAmerica
