,time,tweets
41,Mon Sep 28 13:32:35 +0000 2020,RT @acnewsitics: You can’t be a decent person and support Donald Trump.
42,Mon Sep 28 13:32:35 +0000 2020,@jaketapper https://t.co/ZOss86ntiD
43,Mon Sep 28 13:32:35 +0000 2020,@owillis @ryangrim @jbouie Focusing on this rather than Trump and his malfeasance 36 days before an election is rea… https://t.co/sh3eBlwKHz
44,Mon Sep 28 13:32:35 +0000 2020,@Claire207ME @sj_ca1867 @TeeMoney1111 @TonyBruin @leevinoski @charliekirk11 Ps Obama wasn't President in 2005. Howe… https://t.co/Numnbfi9nO
45,Mon Sep 28 13:32:35 +0000 2020,Trump will save us from Illegal immigrants
46,Mon Sep 28 13:32:35 +0000 2020,RT @eScarry: NYTimes says it has Trump’s tax and financial docs. All of that info would have been given to the paper illegally. And yet the…
47,Mon Sep 28 13:32:35 +0000 2020,"RT @AOC: In 2016 &amp; ‘17, I paid thousands of dollars a year in taxes *as a bartender.*

Trump paid $750.

He contributed less to funding our…"
48,Mon Sep 28 13:32:35 +0000 2020,"RT @DonaldJTrumpJr: Yes, Joe Biden is compromised by his family's shady foreign dealings https://t.co/vqpuaFcjMw"
49,Mon Sep 28 13:32:35 +0000 2020,"RT @julie_kelly2: Donald Trump has employed tens of thousands of Americans, helped put food on their family table, and subcontracted small…"
50,Mon Sep 28 13:32:35 +0000 2020,"RT @MariaTeresa1: 2016 taxes:

Trump paid $750.00

Undocumented workers paid $27,000,000,000.00"
51,Mon Sep 28 13:32:35 +0000 2020,RT @Resputinkw1: I guess joe made all his millions working in the Coal Mines of PA.
52,Mon Sep 28 13:32:35 +0000 2020,"RT @RVAT2020: Jay is a Republican who reluctantly voted for Trump in 2016. This year, with his grandkids in mind, he refuses to make the sa…"
53,Mon Sep 28 13:32:35 +0000 2020,RT @HotCocoaTing: This is why universal healthcare and student loan forgiveness can’t happen
54,Mon Sep 28 13:32:35 +0000 2020,"RT @MaddowBlog: “Mr. Trump, by contrast, is running a federal government to which he has contributed almost no income tax revenue in many y…"
55,Mon Sep 28 13:32:36 +0000 2020,"RT @alexthechick: It is not simply a lie, it proves that the person making the statement either did not read the story itself (BY THE INSAN…"
56,Mon Sep 28 13:32:35 +0000 2020,"RT @SethAbramson: 9/ To those who haven't followed the Trump-Russia story closely, this breaking news from MSNBC may seem too wild to be tr…"
57,Mon Sep 28 13:32:36 +0000 2020,"RT @erinrileyau: In the United States, teachers can only deduct up to $250 a year of the money they personally spend on school supplies, de…"
58,Mon Sep 28 13:32:36 +0000 2020,RT @ari_russian: Why isn’t this man in PRISON??? https://t.co/pZxKN8PNKr
59,Mon Sep 28 13:32:36 +0000 2020,RT @LionelMedia: Joe Biden will be allowed to debate one time and one time only. After his certain destruction they will pull the plug on a…
60,Mon Sep 28 13:32:36 +0000 2020,"RT @ericgarland: Wow, it’s like Ivanka is every bit the criminal that her family is. 

P.S. if she didn’t disclose *every* detail of this m…"
61,Mon Sep 28 13:32:36 +0000 2020,"RT @TheRISEofROD: President Trump gave up a life of luxury for his country.

Joe Biden gave up his country for a life of luxury."
62,Mon Sep 28 13:32:36 +0000 2020,@realDonaldTrump
63,Mon Sep 28 13:32:36 +0000 2020,"RT @DebraMessing: Perhaps a law enforcement entity might want to hold on to Trump, Don jr, Ivanka and Eric’s passports? 

#TrumpCrimeFamily…"
64,Mon Sep 28 13:32:36 +0000 2020,"RT @DanAlexander21: 4/ We'll start at Trump's old home, Trump Tower, where he owes $100M. This document shows that it has a $100M loan agai…"
65,Mon Sep 28 13:32:36 +0000 2020,RT @Scaramucci: Where did the money go? I can’t imagine someone with @realDonaldTrump’s integrity would try to bail out his failing busines…
66,Mon Sep 28 13:32:36 +0000 2020,@LeeLoriT411 @numb3r5ev3n @crankular @DavidNyro @HedwigGraymalk @libbyjones715 There was an ICE raid on a restauran… https://t.co/APxnAwkQYf
67,Mon Sep 28 13:32:36 +0000 2020,"@CNNPolitics The curse of +200K COVID-19 deaths will haunt Trump, his (former) team members and all his followers...

Karma..."
68,Mon Sep 28 13:32:36 +0000 2020,"RT @morgangendel: Trump: ""Biden should take a drug test. He must be using a drug.""

Biden: ""Well I feel the opposite. I'd be very pleased i…"
69,Mon Sep 28 13:32:36 +0000 2020,"RT @mmpadellan: In case you're just waking up, trump is still a fake president with a fake tan and a fake wife in his fake life, and he's o…"
70,Mon Sep 28 13:32:36 +0000 2020,@TrumpsArmyKAG @LLewellyan @youlivethrice @jack I felt your pain. Guess Twitter didn’t like me sharing the story on… https://t.co/hSAIZZit1D
71,Mon Sep 28 13:32:36 +0000 2020,"RT @StefSimanowitz: @sarahkendzior In 1992, @MADmagazine published this cartoon about @realDonaldTrump - ""When should we believe Donald Tru…"
72,Mon Sep 28 13:32:36 +0000 2020,More lies!!! DO these people know WE can find the truth? At least those of us who know the media HAS BEEN PROTECTIN… https://t.co/JamzpsSSc3
73,Mon Sep 28 13:32:36 +0000 2020,"RT @djrothkopf: It is impossible to read this exceptional @NYTimes story on Trump's taxes &amp; not conclude he is a crook, his kids are crooks…"
74,Mon Sep 28 13:32:36 +0000 2020,RT @TheRightMelissa: Awakening is here. Black Women for Trump #BlackVoicesforTrump #PlatinumPlan
75,Mon Sep 28 13:32:36 +0000 2020,"RT @BernieSanders: Shock of shocks! Donald Trump, the self-proclaimed billionaire, received a $72.9 million tax refund from the IRS while n…"
76,Mon Sep 28 13:32:36 +0000 2020,"NY Times Trump Tax Story Has Enough Information to Justify New Special Counsel, Says Former Prosecutor https://t.co/EuhVX7jzgp #SmartNews"
77,Mon Sep 28 13:32:36 +0000 2020,"RT @intheMatrixxx: Is Biden going to wear and earpiece like Hillary?

And she gets the questions for the debate? And they still lose. https…"
78,Mon Sep 28 13:32:36 +0000 2020,RT @EricTrump: We love you Texas! 🇺🇸🇺🇸🇺🇸
79,Mon Sep 28 13:32:36 +0000 2020,RT @PositivityW: Ok so here’s my take on “herd mentality” remark by Trump. According to the diagnosis of malignant narcissist Trump “Meant”…
80,Mon Sep 28 13:32:36 +0000 2020,"RT @JimHansonDC: So a combo of 
Buying votes from felons
&amp; 
Ballot harvesting?

Did you check w/ @IlhanMN 
https://t.co/tJ6sabgAl9
She seem…"
81,Mon Sep 28 13:32:36 +0000 2020,"RT @stengel: Trump paid his daughter, who was a full-time employee of his company, $747,622 in consulting fees on three hotel deals, and th…"
82,Mon Sep 28 13:32:36 +0000 2020,@TheRock @JoeBiden @KamalaHarris Also what is it that makes you want to vote for them. I heard a lot of “soul” and… https://t.co/w5N5AJSLud
83,Mon Sep 28 13:32:36 +0000 2020,"RT @TrumpWarRoom: President Trump's Administration has made tremendous accomplishments for Black Americans.

“President Trump has done some…"
84,Mon Sep 28 13:32:36 +0000 2020,RT @acnewsitics: You can’t be a decent person and support Donald Trump.
85,Mon Sep 28 13:32:36 +0000 2020,"Wake up World, NOW!
Thank God for Leaders like Trump!!
DUMP the evil, lying ( NWO, UN/EU and Islam appeasing ) Demo… https://t.co/JLUq1Hsh9Y"
86,Mon Sep 28 13:32:36 +0000 2020,"RT @EricBoehlert: ""The Times blockbuster is one of the more seismic scoops in campaign history.

All of which makes it hard not to ask, wha…"
87,Mon Sep 28 13:32:36 +0000 2020,RT @donaldtuskEPP: Donald Trump has been saying for a long time that he would lower taxes. We just didn’t realise that he had his taxes in…
88,Mon Sep 28 13:32:36 +0000 2020,RT @newtgingrich: The entire Russiagate probe was a political hit on Team Trump — unprecedented abuse of Justice Department powers by Obama…
89,Mon Sep 28 13:32:36 +0000 2020,"@herecomesbee_ @MikeHooch2 @irishson1916 @realDonaldTrump I did not use the word “protest”, project much? I was tal… https://t.co/J6iVrjufFR"
90,Mon Sep 28 13:32:36 +0000 2020,"RT @donwinslow: Look how fast Trump rushed to hold a Sunday press conference because his taxes finally leaked.

Don't get distracted.

Stay…"
91,Mon Sep 28 13:32:36 +0000 2020,"RT @ProjectLincoln: Who does Donald Trump owe $300,000,000?"
92,Mon Sep 28 13:32:36 +0000 2020,"Trump ""amigo"" de Piñera... dime con quien andas..."
